Row_Number,Product_Name,Base_terms,terms,En_Taxonomic,Desc,Package_One,Pakage_One_kg,Have_Other_Package,Type_of_supply,Country,Brand,Brand_En,Price_Level,cash_price,credit_price,Price_Type,Percend,SKU
2,لوبیا چیتی زنجان لوکس,لوبیا چیتی,لوبیا چیتی ,pinto_beans," لوبیا چیتی بسته به منطقه کشت آن خصوصیات متفاوتی دارد که از جمله مناطق دارای لوبیا چیتی استان زنجان می باشد که دارای لوبیای کاملا مرغوبی است. لوبیای چیتی زنجان لوکس در واقع لوبیای چیتی می باشد که علاوه بر اینکه با توجه به منطقه زنجان خصوصیات ذاتی خوبی دارد با توجه به فرآیند های آماده سازی از قبیل بوجار و دستچین و ... که بر روی آن انجام شده افت آن به حداقل رسیده و کاملا تمیز و مرغوب می باشد. 
مشخصا لوبیا چیتی زنجان لوکس علاوه بر فرآیند های بوجار که مربوط به جدا نمودن ضایعات خارجی و عیوب فیزیکی مانند شکسته شده ها و لپه شده ها می باشد فرآیند های مربوط به دستچین و لیزر نیز بر روی آن انجام شده و لوبیاهای دارای عیوب ظاهری مانند آبگز شدگی و کپک زدگی و آفت خوردگی نیز از آنهاجدا می کند. 
از خصوصیات ظاهری این نوع لوبیا می توان به گرد بودن نسبی نسبت به نمونه های خارجی لوبیا چیتی و همچنین سایز درشت تر آن نسبت به نمونه های داخلی لوبیا چیتی نام برد. علاوه بر این رنگ این نوع لوبیا چیتی بسیار شفاف و سایز آن اغلب بالای سرند های 8 و 9 می باشد. در لوبیا چیتی ممکن است به ندرت دانه گل دار پیدا شود که با توجه به فرآیند های انجام شده بر روی لوبیا چیتی زنجان لوکس این مورد در لوبیا چیتی زنجان لوکس به حداقل رسیده است.
چیتی زنجان عمدتا از بذر صالح هست که در برابر آفات و ویروس مقاومت نسبتا خوبی دارد و از نظر شکل ظاهری در بازار محبوبیت دارد. افت و ضایعات عمده چیتی لوبیا کرم می باشد که در لوبیا چیتی زنجان لوکس به حداقل رسیده است.",30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,385,"3,850,000","4,040,000",قیمت کیلویی,4.935064935,
3,لوبیا چیتی زنجان,لوبیا چیتی,لوبیا چیتی ,pinto_beans," لوبیا چیتی بسته به منطقه کشت آن خصوصیات متفاوتی دارد که از جمله مناطق دارای لوبیا چیتی استان زنجان می باشد که دارای لوبیای کاملا مرغوبی است. لوبیای چیتی زنجان لوکس در واقع لوبیای چیتی می باشد که علاوه بر اینکه با توجه به منطقه زنجان خصوصیا ذاتی خوبی دارد با توجه به فرآیند های آماده سازی از قبیل بوجار و دستچین و ... که بر روی آن انجام شده افت آن به حداقل رسیده و کاملا تمیز و مرغوب می باشد. 
لوبیا چیتی زنجان با توجه به اینکهه به طور طبیعی در زمان برداشت شامل ضایعاتی مانند سنگ و چوب و کلوخ و لپه شده و شکسته می باشد وارد فرآیند کامل بوجاری می شود تا این نوع ضایعات از آن گرفته شود.
از خصوصیات ظاهری این نوع لوبیا می توان به گرد بودن نسبی نسبت به نمونه های خارجی لوبیا چیتی و همچنین سایز درشت تر آن نسبت به نمونه های داخلی لوبیا چیتی نام برد. علاوه بر این رنگ این نوع لوبیا چیتی بسیار شفاف و سایز آن اغلب بالای سرند های 8 و 9 می باشد. با توجه به مرغوبیت لوبیا چیتی زنجان این مورد کمتر دچار دانه های سرمازده بوده و دانه های لوبیا چیتی زنجان از استحکام خوبی برقرار است.
چیتی زنجان عمدتا از بذر صالح هست که در برابر آفات و ویروس مقاومت نسبتا خوبی دارد و از نظر شکل ظاهری در بازار محبوبیت دارد.",30 کیلویی,30,0,داخلی,ایران,خواربارچی,kharbarchi,370,"3,700,000","3,880,000",قیمت کیلویی,4.864864865,
4,لوبیا چیتی خمین لوکس,لوبیا چیتی,لوبیا چیتی ,pinto_beans,"از دیرباز خمین به عنوان قطب لویا و حبوبات در ایران شناخته می شده است چرا که هم محصولات متنوعی از جمله لوبیا چیتی و لوبیا قرمز و لوبیا سفید داشته بلکه از لحاظ کیفیت هم حبوبات خمین زبانزد و سرآمد بوده است . 
لوبیا چیتی خمین لوکس هم از این قاعده مستثنی نبوده و از مرغوبترین لوبیا چیتی های کشور بوده و علاوه بر بوجار که مربوط به گرفتن ضایعات فیزیکی مانند ضایعات خارجی و لپه شدگی و شکسته های لوبیا هست آفات ظاهری اعم از آبگز ، سرمازدگی، کپک و آفت خوردگی نیز از آن استحصال می شود و کاملا مرغوب و تمیز خواهد شد.
چیتی خمین عمدتا از بذر  کوشا بوده و دارای مقاومت نسبتا بالایی در برابر آفات بوده و ظاهر گرد و خوشرنگ بوده است .  در چیتی خمین لوکس درصد آشی نا همسانی رنگ در کنار سایر ضایعات و آفات به حداقل می رسد.",30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,375,"3,750,000","3,935,000",قیمت کیلویی,4.933333333,
5,لوبیا چیتی خمین,لوبیا چیتی,لوبیا چیتی ,pinto_beans,"از دیرباز خمین به عنوان قطب لویا و حبوبات در ایران شناخته می شده است چرا که هم محصولات متنوعی از جمله لوبیا چیتی و لوبیا قرمز و لوبیا سفید داشته بلکه از لحاظ کیفیت هم حبوبات خمین زبانزد و سرآمد بوده است . 
لوبیا چیتی خمین  هم از این قاعده مستثنی نبوده و از مرغوبترین لوبیا چیتی های کشور بوده وبا توجه به اینکه به صورت طبیعی مقداری ضایعات نسبی اعم از چوب و کلوخ و سنگ و خاک و لپه شدگی داخل آن است با فرآیند کامل بوجاری این ضایعات از آن گرفته می شود تا به صورت کامل تمیز گردد.
چیتی خمین عمدتا از بذر نکوشا  بوده و دارای مقاومت نسبتا بالایی در برابر آفات بوده و ظاهر گرد و خوشرنگ بوده است . ",30 کیلویی,30,0,داخلی,ایران,خواربارچی,kharbarchi,360,"3,600,000","3,780,000",قیمت کیلویی,5,
11,لوبیا قرمز زنجان لوکس,لوبیا قرمز,لوبیا قرمز ,red_kidney_beans,"لوبیا قرمز زنجان از مرغوبترین نمونه های لوبیای قرمز در بازار می باشد.  رنگ قرمز و یکدست آن سایز درشت و ظاهر لوبیا شکل و متقارن آن و همچنین ناهمسانی رنگ کم و افت کم لیزرآن از خصوصیات بارز این لوبیا قرمز می باشد. 
لوبیا قرمز زنجان با وجود کم آبی های اخیر این منطقه کماکان از مرغوبترین نمونه های لوبیای قرمز در بازار می باشد. رنگ جگری و یکدست آن سایز درشت و ظاهر لوبیا شکل و متقارن آن و همچنین ناهمسانی رنگ کم و افت کم لیزرآن از خصوصیات بارز این لوبیا قرمز می باشد. معمولا این منطقه از بذر یاقوت اسفاده می نمایند و با توجه به مرغوبیت آن نا همسانی رنگ و رقم و دونه سوسکی و سیاه آن حداقل ممکن است.",30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,260,"2,600,000","2,730,000",قیمت کیلویی,5,
12,لوبیا قرمز خمین لوکس,لوبیا قرمز,لوبیا قرمز ,red_kidney_beans,"از دیرباز خمین به عنوان قطب لوبیا و حبوبات در ایران شناخته می شده است چرا که هم محصولات متنوعی از جمله لوبیا چیتی و لوبیا قرمز و لوبیا سفید داشته بلکه از لحاظ کیفیت هم حبوبات خمین زبانزد و سرآمد بوده است . 
لوبیا قرمز خمین  هم از این قاعده مستثنی نبوده و از مرغوبترین لوبیا قرمز های کشور بوده وبا توجه به اینکه به صورت طبیعی مقداری ضایعات نسبی اعم از چوب و کلوخ و سنگ و خاک و لپه شدگی داخل آن است با فرآیند کامل بوجاری این ضایعات از آن گرفته می شود تا به صورت کامل تمیز گردد. برای لوبیا قرمز خمین لوکس فرایند لیزر و کالر که مربوط به دستچین کردن می باشد نیز انجام می شود به این ترتیب بار از نظر ظاهر و رنگ و رو هم یکدست شده و آفات ظاهری از آن گرفته می شود.
قرمز  خمین عمدتا از بذر یاقوت بوده و دارای مقاومت نسبتا بالایی در برابر آفات بوده و ظاهر لوبیایی شکل و خوشرنگی دارد . ",30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,250,"2,500,000","2,625,000",قیمت کیلویی,5,
14,لوبیا سفید خمین لوکس,لوبیا سفید,لوبیا سفید  ,white_beans,"این لوبیا یک طبقه متفاوت از رایج ترین لوبیاهایی است که در جهان یافت می شود. این لوبیا در سراسر جهان بسیار محبوب است و به خاطر تنوع و راحتی رشد آنها و همچنین ارزش غذایی اش مورد اهمیت قرار گرفته است. لوبیا سفید کاربرد گسترده ای در نیروی دریایی دارد. از این لوبیا به عنوان بخش اصلی رژیم غذایی سالم برای ملوانان استفاده می شود.
به خاطر ارزش غذایی بالا و محتوای پروتئینی اش، در بسیاری از فرهنگ های مختلف به غذاهای اصلی تبدیل شده اند و می توانند بدون از دست دادن ارزش غذایی شان، بر خلاف بسیاری از سبزیجات و میوه ها، به مدت طولانی نگهداری شوند. 
 لوبیا سفید ممکن است معمولی و عادی به نظر برسد، اما تعدادی از مزایای سلامتی مانند:افزایش شناخت و حافظه، محفاظت از قلب، تقویت گوارش، کاهش خطر ابتلا به سرطان، تحریک رشد و کاهش خطر دیابت را برای ما به همراه دارد. لوبیا سفید در بعضی مناطق ایران مثل کاشان استان های جنوبی و رشت به خصوص بیشتر مصرف می شود. لوبیا سفید بذر های متنوعی دارد که درسا شکوفا زمرد امیر از جمله آنها است . مناطق زیر کشت این محصول عمدتا استان مرکزی و فارس و اصفهان می باشد و معمولا از بذر خوب درسا استفاده می شود.",30 کیلویی,30,1,داخلی,ایران,گوهر پاک,gohar_e_pak,270,"2,700,000","2,835,000",قیمت کیلویی,5,
16,لوبیا چشم بلبلی ماداگاسکار 25 کیلویی,لوبیا چشم بلبلی,لوبیا چشم بلبلی ,black‑eyed_peas,"بیشتر لوبیای چشم‌بلبلی در قاره آفریقا، به‌ویژه در نیجریه و نیجر، کشت می‌شود؛ این دو کشور ۶۶٪ از تولید جهانی را به خود اختصاص می‌دهند. بر اساس برآورد سال ۱۹۹۷، این گیاه در ۱۲٫۵ میلیون هکتار زمین کشت می‌شود، تولید جهانی آن ۳ میلیون تن است و روزانه ۲۰۰ میلیون نفر آن را مصرف می‌کنند. این محصول عمدتاً برای دانه‌هایش که سرشار از پروتئین هستند کشت می‌شود، هرچند برگ‌ها و غلاف‌های نارس آن نیز خوراکی هستند. تمام بخش‌های گیاه به عنوان علوفه برای دام بهره‌گیری می‌شود و احتمالاً همین کاربرد به عنوان خوراک گاو موجب نام‌گذاری آن شده‌است.  از نمونه های آفریقایی تولیدات ماداگاسکار در ایران بیشتر وارد می شود. بیشترین نوع بسته بندی از این محصول کیسه های 25 کیلویی با چاپ روی گونی می باشد و با توجه به مرغوبیت  چشم بلبلی ماداگاسکار از استقبال خوبی برخوردار است.",25 کیلویی,25,0,خارجی,ماداگاسکار,برند معتبر,trusted_brand,212,"2,120,000","2,226,000",قیمت کیلویی,5,
17,لوبیا چشم بلبلی ماداگاسکار 15 کیلویی,لوبیا چشم بلبلی,لوبیا چشم بلبلی ,black‑eyed_peas,"بیشتر لوبیای چشم‌بلبلی در قاره آفریقا، به‌ویژه در نیجریه و نیجر، کشت می‌شود؛ این دو کشور ۶۶٪ از تولید جهانی را به خود اختصاص می‌دهند. بر اساس برآورد سال ۱۹۹۷، این گیاه در ۱۲٫۵ میلیون هکتار زمین کشت می‌شود، تولید جهانی آن ۳ میلیون تن است و روزانه ۲۰۰ میلیون نفر آن را مصرف می‌کنند. این محصول عمدتاً برای دانه‌هایش که سرشار از پروتئین هستند کشت می‌شود، هرچند برگ‌ها و غلاف‌های نارس آن نیز خوراکی هستند. تمام بخش‌های گیاه به عنوان علوفه برای دام بهره‌گیری می‌شود و احتمالاً همین کاربرد به عنوان خوراک گاو موجب نام‌گذاری آن شده‌است.  از نمونه های آفریقایی تولیدات ماداگاسکار در ایران بیشتر وارد می شود. بسته بندی 15 کیلویی در گونی هایی با چاپ مخصوص و رنگی بر روی لمینیت می باشد و این چشم بلبلی از مرغوبیت بالایی نسبت به 25 کیلویی برخوردار است و افت کمتری دارد و بسیار تمیز می باشد .",15 کیلویی,15,0,خارجی,ماداگاسکار,بیست و هشت,twenty-eight,212,"2,120,000","2,226,000",قیمت کیلویی,5,
20,نخود سه خان کرمانشاه لوکس,نخود,نخود,chickpeas ,"نخود سه خان کرمانشاه نخودی است که عمدتا دارای نخود های سایز 7 با درصد تقریبا 30 درصد و 70 درصد بالای 8 و 9 می باشد. نخود سه خان کرمانشاه لوکس نخودی است که علاوه بر فرآیند بوجاری ، فرایند لیزر و دستچین و گرویتی راهم گذرانده و آفاتی همچون سوراخ و بیجک و آفت خورده و کلوخ در آن به حداقل رسیده باشد.",25 کیلویی,25,1,داخلی,ایران,گوهر پاک,gohar_e_pak,180,"1,800,000","1,890,000",قیمت کیلویی,5,
